Phenotype,k,N,Yield,CI_95,I2,Yield_Raw,CI_Lower_Raw,CI_Upper_Raw,Alpha,Beta
Glomerular,6,1052,28.1%,[21.4-35.9],77%,0.2810039099863929,0.21420598535659968,0.3591125328392827,40.88277653263811,104.60550700981432
Cystic,6,920,61.7%,[48.7-73.2],91%,0.617013262126048,0.48726632666265907,0.7319867557932175,35.38399407712208,21.96322396353906
Tubulopathies,5,190,38.6%,[15.9-67.6],75%,0.3860194178754923,0.15942839500444192,0.6757560552554512,3.970398327174102,6.315090286392805
CKDu,5,1344,19.5%,[6.9-44.2],93%,0.19517515001121538,0.06916711194682432,0.4417900551869915,3.216379835844621,13.263073801874103
Tubulointerstitial,3,187,27.7%,[15.6-44.3],80%,0.27745037052640514,0.15625412166367872,0.44326529497696315,9.720408564545696,25.3143565579633
