Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CFI	gene	CFI	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 3, OMIM:612923;Complement factor I deficiency, OMIM:610984				15173250;16621965;17018561;10352206		False	3	0;0;0	1.120	False		ENSG00000205403	ENSG00000205403	HGNC:5394													
CHD7	gene	CHD7	Emory Genetics Laboratory;Expert Review;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CHARGE syndrome 214800						False	3	0;0;0	1.120	False		ENSG00000171316	ENSG00000171316	HGNC:20626													
CHRM3	gene	CHRM3	Expert Review;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Prune belly syndrome, OMIM:100100;Megacystis;Urinary Bladder Disease				10944224;22077972;31441039		False	3	0;0;0	1.120	False		ENSG00000133019	ENSG00000133019	HGNC:1952													
CLCN5	gene	CLCN5	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dent disease, 300009; Nephrolithiasis, type I, 310468; Hypophosphatemic rickets, 300554; Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990						False	3	0;0;0	1.120	False		ENSG00000171365	ENSG00000171365	HGNC:2023													
COL4A3	gene	COL4A3	Eligibility statement prior genetic testing;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Alport syndrome, autosomal recessive, 203780;Hematuria, benign familial, 141200;Alport syndrome, autosomal dominant, 104200				25381091		False	3	0;0;0	1.120	False		ENSG00000169031	ENSG00000169031	HGNC:2204													
COL4A4	gene	COL4A4	Eligibility statement prior genetic testing;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Alport syndrome 2, autosomal recessive, OMIM:203780;Hematuria,familial benign, OMIM:141200				25381091		False	3	0;0;0	1.120	False		ENSG00000081052	ENSG00000081052	HGNC:2206													
COL4A5	gene	COL4A5	Eligibility statement prior genetic testing;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Alport syndrome 301050						False	3	0;0;0	1.120	False		ENSG00000188153	ENSG00000188153	HGNC:2207													
COQ2	gene	COQ2	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 1, OMIM:607426						False	3	0;0;0	1.120	False		ENSG00000173085	ENSG00000173085	HGNC:25223													
COQ6	gene	COQ6	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 6 614650						False	3	0;0;0	1.120	False		ENSG00000119723	ENSG00000119723	HGNC:20233													
COQ8B	gene	COQ8B	Expert Review;Expert Review Green	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 9 615573				24270420		False	3	100;0;0	1.120	True		ENSG00000123815	ENSG00000123815	HGNC:19041													
CTNS	gene	CTNS	Emory Genetics Laboratory;Expert Review;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Cystinosis, atypical nephropathic 219800;Cystinosis, late-onset juvenile or adolescent nephropathic 219900;Cystinosis, nephropathic 219800				27604308;  9537412; 19863563		False	3	100;0;0	1.120	False		ENSG00000040531	ENSG00000040531	HGNC:2518													
CUBN	gene	CUBN	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Finnish type, (originally on the Imerslund-Grasbeck syndrome gene panel) 261100				10080186;21903995;21208123		False	3	0;0;0	1.120	False		ENSG00000107611	ENSG00000107611	HGNC:2548													
