Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CUBN	gene	CUBN	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Finnish type, 261100;Megaloblastic Anemia; (originally on the Imerslund-Grasbeck syndrome gene panel)				21903995;22574174		False	3	50;50;0	5.2	True		ENSG00000107611	ENSG00000107611	HGNC:2548													
DAAM2	gene	DAAM2	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	steroid-resistant nephrotic syndrome MONDO:0044765				33232676		False	3	100;0;0	5.2	False		ENSG00000146122	ENSG00000146122	HGNC:18143													
DGKE	gene	DGKE	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 7, OMIM:615008				23274426;23542698		False	3	50;50;0	5.2	False		ENSG00000153933	ENSG00000153933	HGNC:2852													
DLC1	gene	DLC1	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Childhood and adult SSNS and SRNS				29773874		False	3	100;0;0	5.2	False		ENSG00000164741	ENSG00000164741	HGNC:2897													
FAT1	gene	FAT1	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Glomerulotubular nephropathy				26905694		False	3	100;0;0	5.2	False		ENSG00000083857	ENSG00000083857	HGNC:3595													
FN1	gene	FN1	Expert list;Expert Review Green	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulopathy with fibronectin deposits 2, OMIM:601894				18268355;27056061;31419955		False	3	100;0;0	5.2	False		ENSG00000115414	ENSG00000115414	HGNC:3778													
GLA	gene	GLA	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Fabry disease 301500				2539398;7504405;12786754		False	3	100;0;0	5.2	False		ENSG00000102393	ENSG00000102393	HGNC:4296													
GON7	gene	GON7	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome MONDO:0009627				31481669		False	3	50;50;0	5.2	False		ENSG00000170270	ENSG00000170270	HGNC:20356													
INF2	gene	INF2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 5 #613237;Adult onset nephrotic syndrome (+CMT);FSGS;proteinuria;renal failure				20023659;25165188		False	3	100;0;0	5.2	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000203485	ENSG00000203485	HGNC:23791													
ITGA3	gene	ITGA3	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital #614748						False	3	0;100;0	5.2	True		ENSG00000005884	ENSG00000005884	HGNC:6139													
