Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CLDN10	gene	CLDN10	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypokalemic-alkalotic salt-losing tubulopathy;HELIX syndrome, OMIM:617671				19307729;31671507		False	3	50;50;0	5.6	False		ENSG00000134873	ENSG00000134873	HGNC:2033													
CLDN16	gene	CLDN16	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia 3, renal 248250				10390358;10878661;16528408;16501001;26426912		False	3	100;0;0	5.6	False		ENSG00000113946	ENSG00000113946	HGNC:2037													
CLDN19	gene	CLDN19	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia 5, renal, with ocular involvement, 248190				17033971;22422540;27530400		False	3	100;0;0	5.6	False		ENSG00000164007	ENSG00000164007	HGNC:2040													
CNNM2	gene	CNNM2	Expert list;Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Hypomagnesemia 6, renal, OMIM:613882;Hypomagnesemia, seizures, and mental retardation, OMIM:616418;renal hypomagnesemia 6, MONDO:0013480;Hypomagnesemia, seizures, and mental retardation, MONDO:0014631				33600043;30026055;32997713;34604137;33859252;24699222;35002148;21397062		False	3	100;0;0	5.6	False	Other	ENSG00000148842	ENSG00000148842	HGNC:103													
CTNS	gene	CTNS	Emory Genetics Laboratory;Expert Review;Illumina TruGenome Clinical Sequencing Services;Literature;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Cystinosis, atypical nephropathic 219800;Cystinosis, late-onset juvenile or adolescent nephropathic 219900;Cystinosis, nephropathic 219800;Cystinosis, ocular nonnephropathic 219750				27604308;9537412;19863563;35137071		False	3	100;0;0	5.6	False		ENSG00000040531	ENSG00000040531	HGNC:2518													
CUL3	gene	CUL3	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pseudohypoaldosteronism, type IIE, 214496				22266938		False	3	100;0;0	5.6	False		ENSG00000036257	ENSG00000036257	HGNC:2553													
CYP24A1	gene	CYP24A1	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hypercalcemia, infantile, 1 143880				21675912;22047572		False	3	100;0;0	5.6	False		ENSG00000019186	ENSG00000019186	HGNC:2602													
FAH	gene	FAH	Emory Genetics Laboratory;Expert Review;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Tyrosinemia, type I	276700"				8723690; 7550234; 27604308		False	3	100;0;0	5.6	False		ENSG00000103876	ENSG00000103876	HGNC:3579													
GATM	gene	GATM	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fanconi renotubular syndrome 1, OMIM:134600				29654216		False	3	100;0;0	5.6	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000171766	ENSG00000171766	HGNC:4175													
GNA11	gene	GNA11	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypocalcemia, autosomal dominant 2 615361				23802536;24823460;23802516		False	3	100;0;0	5.6	False		ENSG00000088256	ENSG00000088256	HGNC:4379													
HNF1B	gene	HNF1B	Expert Review Green;NHS GMS	Renal tubulopathies	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Renal cysts and diabetes syndrome, 137920;Diabetes mellitus, noninsulin-dependent, 125853				19389850		False	3	100;0;0	5.6	False		ENSG00000108753	ENSG00000275410	HGNC:11630													
