PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
32855195,Preimplantation Genetic Testing for Monogenic Kidney Disease,"Snoek R, Stokman MF, Lichtenbelt KD, van Tilborg TC, Simcox CE, Paulussen ADC, Dreesen JCMF, van Reekum F, Lely AT, Knoers NVAM, de Die-Smulders CEM, van Eerde AM.",Clin J Am Soc Nephrol. 2020 Sep 7;15(9):1279-1286. doi: 10.2215/CJN.03550320. Epub 2020 Aug 27.,Snoek R,Clin J Am Soc Nephrol,2020,2020-08-29,PMC7480540,,10.2215/CJN.03550320
34946851,"Metabolite Genome-Wide Association Study for Indoleamine 2,3-Dioxygenase Activity Associated with Chronic Kidney Disease","Kim HR, Jin HS, Eom YB.",Genes (Basel). 2021 Nov 27;12(12):1905. doi: 10.3390/genes12121905.,Kim HR,Genes (Basel),2021,2021-12-24,PMC8701662,,10.3390/genes12121905
35006361,Whole-exome sequencing and variant spectrum in children with suspected inherited renal tubular disorder: the East India Tubulopathy Gene Study,"Sinha R, Pradhan S, Banerjee S, Jahan A, Akhtar S, Pahari A, Raut S, Parakh P, Basu S, Srivastava P, Nayak S, Thenral SG, Ramprasad V, Ashton E, Bockenhauer D, Mandal K.",Pediatr Nephrol. 2022 Aug;37(8):1811-1836. doi: 10.1007/s00467-021-05388-y. Epub 2022 Jan 10.,Sinha R,Pediatr Nephrol,2022,2022-01-10,,,10.1007/s00467-021-05388-y
34343338,Genetic risk assessment for hereditary renal cell carcinoma: Clinical consensus statement,"Bratslavsky G, Mendhiratta N, Daneshvar M, Brugarolas J, Ball MW, Metwalli A, Nathanson KL, Pierorazio PM, Boris RS, Singer EA, Carlo MI, Daly MB, Henske EP, Hyatt C, Middleton L, Morris G, Jeong A, Narayan V, Rathmell WK, Vaishampayan U, Lee BH, Battle D, Hall MJ, Hafez K, Jewett MAS, Karamboulas C, Pal SK, Hakimi AA, Kutikov A, Iliopoulos O, Linehan WM, Jonasch E, Srinivasan R, Shuch B.",Cancer. 2021 Nov 1;127(21):3957-3966. doi: 10.1002/cncr.33679. Epub 2021 Aug 3.,Bratslavsky G,Cancer,2021,2021-08-03,PMC8711633,NIHMS1706662,10.1002/cncr.33679
34363274,MRI Characteristics of Pediatric Renal Tumors: A SIOP-RTSG Radiology Panel Delphi Study,"van der Beek JN, Watson TA, Nievelstein RAJ, Brisse HJ, Morosi C, Lederman HM, Coma A, Gavra MM, Vult von Steyern K, Lakatos K, Breysem L, Varga E, Ducou Le Pointe H, Lequin MH, Schäfer JF, Mentzel HJ, Hötker AM, Calareso G, Swinson S, Kyncl M, Granata C, Aertsen M, Di Paolo PL, de Krijger RR, Graf N, Olsen ØE, Schenk JP, van den Heuvel-Eibrink MM, Littooij AS.",J Magn Reson Imaging. 2022 Feb;55(2):543-552. doi: 10.1002/jmri.27878. Epub 2021 Aug 6.,van der Beek JN,J Magn Reson Imaging,2022,2021-08-07,PMC9291546,,10.1002/jmri.27878
37391705,Genome-wide association study of dilated cardiomyopathy-induced heart failure associated with renal insufficiency in a Chinese population,"Hu Y, Jin L, Wang Z.",BMC Cardiovasc Disord. 2023 Jun 30;23(1):335. doi: 10.1186/s12872-023-03370-0.,Hu Y,BMC Cardiovasc Disord,2023,2023-06-30,PMC10314512,,10.1186/s12872-023-03370-0
32080893,Genome-wide association study for time to failure of kidney transplants from African American deceased donors,"Divers J, Ma L, Brown WM, Palmer ND, Choi Y, Israni AK, Pastan SO, Julian BA, Gaston RS, Hicks PJ, Reeves-Daniel AM, Freedman BI.",Clin Transplant. 2020 Jun;34(6):e13827. doi: 10.1111/ctr.13827. Epub 2020 Apr 25.,Divers J,Clin Transplant,2020,2020-02-22,PMC7694574,NIHMS1609505,10.1111/ctr.13827
33276865,Clinical and genetic spectra of kidney disease caused by REN mutations,"Schaeffer C, Olinger E.",Kidney Int. 2020 Dec;98(6):1397-1400. doi: 10.1016/j.kint.2020.08.013.,Schaeffer C,Kidney Int,2020,2020-12-05,,,10.1016/j.kint.2020.08.013
32574212,Results of targeted next-generation sequencing in children with cystic kidney diseases often change the clinical diagnosis,"Obeidova L, Seeman T, Fencl F, Blahova K, Hojny J, Elisakova V, Reiterova J, Stekrova J.",PLoS One. 2020 Jun 23;15(6):e0235071. doi: 10.1371/journal.pone.0235071. eCollection 2020.,Obeidova L,PLoS One,2020,2020-06-24,PMC7310724,,10.1371/journal.pone.0235071
37248651,New insights from trio whole-exome sequencing in the children with kidney disease: A single-center retrospective cohort study,"Chen Y, Zhang Y, Huang J, Zeng Y, Qian Y, Chen J, Chen G, Xia G, Wang C, Feng A, Li Z, Chen L, Zheng S, Li F, Weng Z, Zhang C, Yang Y, Lin J, Wu J, Zhang H, Ouyang W, Nie X.",Mol Genet Genomic Med. 2023 Jul;11(7):e2163. doi: 10.1002/mgg3.2163. Epub 2023 May 29.,Chen Y,Mol Genet Genomic Med,2023,2023-05-30,PMC10337271,,10.1002/mgg3.2163
