PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
32029730,Integrative genomic study of Chinese clear cell renal cell carcinoma reveals features associated with thrombus,"Wang XM, Lu Y, Song YM, Dong J, Li RY, Wang GL, Wang X, Zhang SD, Dong ZH, Lu M, Wang SY, Ge LY, Luo GD, Ma RZ, George Rozen S, Bai F, Wu D, Ma LL.",Nat Commun. 2020 Feb 6;11(1):739. doi: 10.1038/s41467-020-14601-9.,Wang XM,Nat Commun,2020,2020-02-08,PMC7005298,,10.1038/s41467-020-14601-9
35064937,Multicenter study on the genetics of glomerular diseases among southeast and south Asians: Deciphering Diversities - Renal Asian Genetics Network (DRAGoN),"Lu L, Yap YC, Nguyen DQ, Chan YH, Ng JL, Zhang YC, Chan CY, Than M, Liu ID, Asim S, Moorani K, Naeem B, Ijaz I, Nguyen TMT, Lee ML, Eng C, Huque SS, Ng YH, Ganesan I, Chao SM, Chong SL, Tan PH, Loh A, Davila S, Kumar V, Ling JZ, Moorakonda RB, Tan KM, Ng AY, Poon KS, Schaefer F, Lipska-Zietkiewicz B, Yap HK, Ng KH; Deciphering Diversities: Renal Asian Genetics Network (DRAGoN).",Clin Genet. 2022 May;101(5-6):541-551. doi: 10.1111/cge.14116. Epub 2022 Feb 1.,Lu L,Clin Genet,2022,2022-01-22,,,10.1111/cge.14116
36463540,Agreement of somatic and renal near-infrared spectroscopy with reference blood samples during a controlled hypoxia sequence: a healthy volunteer study,"De Keijzer IN, Massari D, Niezen CK, Bokkers RPH, Vos JJ, Scheeren TWL.",J Clin Monit Comput. 2023 Jun;37(3):805-814. doi: 10.1007/s10877-022-00944-9. Epub 2022 Dec 4.,De Keijzer IN,J Clin Monit Comput,2023,2022-12-04,PMC10175462,,10.1007/s10877-022-00944-9
32398770,Matching clinical and genetic diagnoses in autosomal dominant polycystic kidney disease reveals novel phenocopies and potential candidate genes,"Schönauer R, Baatz S, Nemitz-Kliemchen M, Frank V, Petzold F, Sewerin S, Popp B, Münch J, Neuber S, Bergmann C, Halbritter J.",Genet Med. 2020 Aug;22(8):1374-1383. doi: 10.1038/s41436-020-0816-3. Epub 2020 May 13.,Schönauer R,Genet Med,2020,2020-05-14,PMC7394878,,10.1038/s41436-020-0816-3
33958773,Clinical versus research genomics in kidney disease,"Mallett AJ, Knoers N, Sayer J, Stark Z.",Nat Rev Nephrol. 2021 Sep;17(9):570-571. doi: 10.1038/s41581-021-00436-0.,Mallett AJ,Nat Rev Nephrol,2021,2021-05-07,,,10.1038/s41581-021-00436-0
38347632,Novel genetic markers for chronic kidney disease in a geographically isolated population of Indigenous Australians: Individual and multiple phenotype genome-wide association study,"Arunachalam V, Lea R, Hoy W, Lee S, Mott S, Savige J, Mathews JD, McMorran BJ, Nagaraj SH.",Genome Med. 2024 Feb 12;16(1):29. doi: 10.1186/s13073-024-01299-3.,Arunachalam V,Genome Med,2024,2024-02-12,PMC10860247,,10.1186/s13073-024-01299-3
34148064,Diagnostic utility of one-stop fusion gene panel to detect TFE3/TFEB gene rearrangement and amplification in renal cell carcinomas,"Harada S, Caliò A, Janowski KM, Morlote D, Rodriguez Pena MD, Canete-Portillo S, Harbi D, DeFrank G, Magi-Galluzzi C, Netto GJ, Martignoni G, Mackinnon AC.",Mod Pathol. 2021 Nov;34(11):2055-2063. doi: 10.1038/s41379-021-00858-y. Epub 2021 Jun 19.,Harada S,Mod Pathol,2021,2021-06-20,,,10.1038/s41379-021-00858-y
34327334,Genetic Analysis in Kidney Disease: Advancing Clinical Diagnosis and Research Discovery,Besse W.,Kidney360. 2020 Aug;1(8):720-723. doi: 10.34067/kid.0003632020. Epub 2020 Aug 27.,Besse W,Kidney360,2020,2021-07-30,PMC8317592,NIHMS1665502,10.34067/kid.0003632020
37042117,Molecular genetic diagnosis of kidney ciliopathies: Lessons from interpreting genomic sequencing data and the requirement for accurate phenotypic data,"Orr S, Olinger E, Iosifidou S, Barroso-Gil M, Neatu R, Wood K, Wilson I; Genomics England Research Consortium; Sayer JA.",Ann Hum Genet. 2024 Jan;88(1):76-85. doi: 10.1111/ahg.12508. Epub 2023 Apr 12.,Orr S,Ann Hum Genet,2024,2023-04-12,,,10.1111/ahg.12508
39150521,Clinical characteristics and genetic profile of children with WDR72-associated distal renal tubular acidosis: a nationwide experience,"Deepthi B, Krishnasamy S, Krishnamurthy S, Khandelwal P, Sinha A, Hari P, Jaikumar R, Agrawal P, Saha A, Deepthi RV, Agarwal I, Sinha R, Venkatachari M, Shah MA, Bhatt GC, Krishnan B, Vasudevan A, Bagga A, Krishnamurthy S.",Pediatr Nephrol. 2025 Feb;40(2):407-416. doi: 10.1007/s00467-024-06478-3. Epub 2024 Aug 16.,Deepthi B,Pediatr Nephrol,2025,2024-08-16,,,10.1007/s00467-024-06478-3
35369652,Association of Blood Pressure Genetic Risk Score with Cardiovascular Disease and CKD Progression: Findings from the CRIC Study,"Nierenberg JL, Anderson AH, He J, Parsa A, Srivastava A, Cohen JB, Saraf SL, Rahman M, Rosas SE, Kelly TN; CRIC Study Investigators.",Kidney360. 2021 Apr 8;2(8):1251-1260. doi: 10.34067/KID.0007632020. eCollection 2021 Aug 26.,Nierenberg JL,Kidney360,2021,2022-04-04,PMC8676389,,10.34067/KID.0007632020
38906652,Genomics in the kidney transplant clinic: the future standard of care?,"Cornec-Le Gall E, Mallett AJ.",Kidney Int. 2024 Jul;106(1):18-20. doi: 10.1016/j.kint.2024.05.003.,Cornec-Le Gall E,Kidney Int,2024,2024-06-21,,,10.1016/j.kint.2024.05.003
35244702,Effects of Testing and Disclosing Ancestry-Specific Genetic Risk for Kidney Failure on Patients and Health Care Professionals: A Randomized Clinical Trial,"Nadkarni GN, Fei K, Ramos MA, Hauser D, Bagiella E, Ellis SB, Sanderson S, Scott SA, Sabin T, Madden E, Cooper R, Pollak M, Calman N, Bottinger EP, Horowitz CR.",JAMA Netw Open. 2022 Mar 1;5(3):e221048. doi: 10.1001/jamanetworkopen.2022.1048.,Nadkarni GN,JAMA Netw Open,2022,2022-03-04,PMC8897752,,10.1001/jamanetworkopen.2022.1048
39363241,Contribution of Genomic Imbalance in Prenatal Congenital Anomalies of the Kidney and Urinary Tract: A Multi-Center Cohort Study,"Li K, Wang H, Chau MHK, Dong Z, Cao Y, Zheng Y, Leung TY, Choy KW, Zhu Y.",Prenat Diagn. 2024 Nov;44(12):1451-1461. doi: 10.1002/pd.6674. Epub 2024 Oct 3.,Li K,Prenat Diagn,2024,2024-10-03,,,10.1002/pd.6674
32299846,Pilot Study of Return of Genetic Results to Patients in Adult Nephrology,"Nestor JG, Marasa M, Milo-Rasouly H, Groopman EE, Husain SA, Mohan S, Fernandez H, Aggarwal VS, Ahram DF, Vena N, Bogyo K, Bomback AS, Radhakrishnan J, Appel GB, Ahn W, Cohen DJ, Canetta PA, Dube GK, Rao MK, Morris HK, Crew RJ, Sanna-Cherchi S, Kiryluk K, Gharavi AG.",Clin J Am Soc Nephrol. 2020 May 7;15(5):651-664. doi: 10.2215/CJN.12481019. Epub 2020 Apr 16.,Nestor JG,Clin J Am Soc Nephrol,2020,2020-04-18,PMC7269209,,10.2215/CJN.12481019
32779812,Molecular diagnostic in fetuses with isolated congenital anomalies of the kidney and urinary tract by whole-exome sequencing,"Zhou X, Wang Y, Shao B, Wang C, Hu P, Qiao F, Xu Z.",J Clin Lab Anal. 2020 Nov;34(11):e23480. doi: 10.1002/jcla.23480. Epub 2020 Aug 11.,Zhou X,J Clin Lab Anal,2020,2020-08-12,PMC7676188,,10.1002/jcla.23480
39626636,Clinical Implementation of Nephrologist-Led Genomic Testing for Glomerular Diseases in Singapore: Rationale and Protocol,"Lim C, Lim RS, Choo J, Leow EH, Chan GC, Zhang Y, Ng JL, Chin HL, Tan ES, Goh J, Gandhi N, Ng YH, Than M, Ganesan I, Chong SL, Yap C, Chao SM, Cham B, Kam S, Lim JY, Mok I, Tan HZ, Kwek JL, Lee TL, Wang Z, Goh SM, Lim R, Yeo SC, Teo BW, Da Y, Matchar D, Ng KH.",Am J Nephrol. 2025;56(2):158-171. doi: 10.1159/000542942. Epub 2024 Dec 3.,Lim C,Am J Nephrol,2025,2024-12-03,PMC11975324,,10.1159/000542942
38932496,Discovery of genomic and transcriptomic pleiotropy between kidney function and soluble receptor for advanced glycation end products using correlated meta-analyses: The Long Life Family Study,"Feitosa MF, Lin SJ, Acharya S, Thyagarajan B, Wojczynski MK, Kuipers AL, Kulminski A, Christensen K, Zmuda JM, Brent MR, Province MA.",Aging Cell. 2024 Oct;23(10):e14261. doi: 10.1111/acel.14261. Epub 2024 Jun 26.,Feitosa MF,Aging Cell,2024,2024-06-27,PMC11464144,,10.1111/acel.14261
33407230,Genetic identification of inherited cystic kidney diseases for implementing precision medicine: a study protocol for a 3-year prospective multicenter cohort study,"Park HC, Ryu H, Kim YC, Ahn C, Lee KB, Kim YH, Kim Y, Han S, Kim Y, Bae EH, Ma SK, Kang HG, Ahn YH, Park E, Jeong K, Lee J, Choi J, Oh KH, Oh YK.",BMC Nephrol. 2021 Jan 6;22(1):2. doi: 10.1186/s12882-020-02207-8.,Park HC,BMC Nephrol,2021,2021-01-07,PMC7786983,,10.1186/s12882-020-02207-8
37864521,Genomic ancestry in kidney cancer: Correlations with clinical and molecular features,"Kotecha RR, Knezevic A, Arora K, Bandlamudi C, Kuo F, Carlo MI, Fitzgerald KN, Feldman DR, Shah NJ, Reznik E, Hakimi AA, Carrot-Zhang J, Mandelker D, Berger M, Lee CH, Motzer RJ, Voss MH.",Cancer. 2024 Mar 1;130(5):692-701. doi: 10.1002/cncr.35074. Epub 2023 Oct 21.,Kotecha RR,Cancer,2024,2023-10-21,PMC11220722,NIHMS1999744,10.1002/cncr.35074
33693791,Observational or Genetically Predicted Higher Vegetable Intake and Kidney Function Impairment: An Integrated Population-Scale Cross-Sectional Analysis and Mendelian Randomization Study,"Park S, Lee S, Kim Y, Lee Y, Kang MW, Kim K, Kim YC, Han SS, Lee H, Lee JP, Joo KW, Lim CS, Kim YS, Kim DK.",J Nutr. 2021 May 11;151(5):1167-1174. doi: 10.1093/jn/nxaa452.,Park S,J Nutr,2021,2021-03-11,,,10.1093/jn/nxaa452
32969247,Clinical and genetic markers of erythropoietin deficiency anemia in chronic kidney disease (predialysis) patients,"Yugavathy N, Huri HZ, Kun LS, Bin Abdul Gafor AH, Geot WM, Bavanandan S, Seng WH.",Biomark Med. 2020 Aug;14(12):1099-1108. doi: 10.2217/bmm-2020-0205.,Yugavathy N,Biomark Med,2020,2020-09-24,,,10.2217/bmm-2020-0205
35429337,Higher genetically predicted low-density lipoprotein levels increase the renal cancer risk independent of triglycerides and high-density lipoprotein levels: A Mendelian randomization study,"Ma Y, Jian Z, Xiang L, Jin X.",Int J Cancer. 2022 Aug 15;151(4):518-525. doi: 10.1002/ijc.34032. Epub 2022 May 3.,Ma Y,Int J Cancer,2022,2022-04-16,,,10.1002/ijc.34032
38547852,Introducing Exome Sequencing as Part of the Diagnostic Algorithm for Pediatric Nephrology Patients in Bulgaria: A Single-Center Experience,"Beltcheva O, Kamenarova K, Zlatanova G, Mihova K, Roussinov D, Kachakova D, Georgiev M, Nikolova E, Gaydarova M, Mitev V, Kaneva R.",Nephron. 2024;148(9):643-656. doi: 10.1159/000538172. Epub 2024 Mar 28.,Beltcheva O,Nephron,2024,2024-03-28,,,10.1159/000538172
39143076,Identification of interactions between genetic risk scores and dietary patterns for personalized prevention of kidney dysfunction in a population-based cohort,"Jang MJ, Tan LJ, Park MY, Shin S, Kim JM.",Nutr Diabetes. 2024 Aug 14;14(1):62. doi: 10.1038/s41387-024-00316-z.,Jang MJ,Nutr Diabetes,2024,2024-08-14,PMC11325018,,10.1038/s41387-024-00316-z
37228720,Metagenomic next-generation sequencing confirms the diagnosis of Legionella pneumonia with rhabdomyolysis and acute kidney injury in a limited resource area: a case report and review,"Du R, Feng Y, Wang Y, Huang J, Tao Y, Mao H.",Front Public Health. 2023 May 9;11:1145733. doi: 10.3389/fpubh.2023.1145733. eCollection 2023.,Du R,Front Public Health,2023,2023-05-25,PMC10205016,,10.3389/fpubh.2023.1145733
34628264,Identification of a four-microRNA panel in serum for screening renal cell carcinoma,"Chen X, Li R, Li X, Peng X, Zhang C, Liu K, Huang G, Lai Y.",Pathol Res Pract. 2021 Nov;227:153625. doi: 10.1016/j.prp.2021.153625. Epub 2021 Sep 24.,Chen X,Pathol Res Pract,2021,2021-10-10,,,10.1016/j.prp.2021.153625
36547129,"A Novel, Simple, and Low-Cost Approach for Machine Learning Screening of Kidney Cancer: An Eight-Indicator Blood Test Panel with Predictive Value for Early Diagnosis","Li H, Wang F, Huang W.",Curr Oncol. 2022 Nov 24;29(12):9135-9149. doi: 10.3390/curroncol29120715.,Li H,Curr Oncol,2022,2022-12-22,PMC9776815,,10.3390/curroncol29120715
40533884,"Diagnostic Yield and Clinical Impact of a Small Genetic Panel for Kidney Disease: A Multicenter, Retrospective European Study","Giovanella S, Poyatos-Andújar AM, Garcia MMA, Avila-Fernandez A, Bustamante-Aragonés A, Ayuso C, Percesepe A, Martorana D, Ferri M, Terracciano A, Massella L, Chester J, Testa F, Ligabue G, Ferrarini M, Gibertoni D, Alfano G, Tenedini E, Artuso L, Marino M, Calabrese O, Tagliafico E, Magistroni R.",Clin Genet. 2026 Jan;109(1):136-140. doi: 10.1111/cge.70002. Epub 2025 Jun 18.,Giovanella S,Clin Genet,2026,2025-06-19,PMC12674980,,10.1111/cge.70002
34923958,Improve in-depth immunological risk assessment to optimize genetic-compatibility and clinical outcomes in child and adolescent recipients of parental donor kidney transplants: protocol for the INCEPTION study,"Lim WH, Adams B, Alexander S, Bouts AHM, Claas F, Collins M, Cornelissen E, Dunckley H, de Jong H, D'Orsogna L, Francis A, Heidt S, Herman J, Holdsworth R, Kausman J, Khalid R, Kim JJ, Kim S, Knops N, Kosmoliaptsis V, Kramer C, Kuypers D, Larkins N, Palmer SC, Prestidge C, Prytula A, Sharma A, Shingde M, Taverniti A, Teixeira-Pinto A, Trnka P, Willis F, Wong D, Wong G.",BMC Nephrol. 2021 Dec 19;22(1):416. doi: 10.1186/s12882-021-02619-0.,Lim WH,BMC Nephrol,2021,2021-12-20,PMC8684542,,10.1186/s12882-021-02619-0
39832277,Distinct genetic risk loci between biopsy-proven renal and non-renal lupus: a 10-year longitudinal cohort,"Chan SCW, Lei Y, Yap DYH, Lee PPW, Lai WM, Ying SKY, Leung AMH, Mok CC, Lee KL, Lau CS, Yang W, Li PH.",Rheumatology (Oxford). 2025 Jun 1;64(6):4005-4013. doi: 10.1093/rheumatology/keaf027.,Chan SCW,Rheumatology (Oxford),2025,2025-01-20,,,10.1093/rheumatology/keaf027
31999492,Molecular Diagnosis and Identification of Genetic Variants Underlying Distal Renal Tubular Acidosis in Pakistani Patients Using Whole Exome Sequencing,"Khan N, Akhtar N, Khan FF, Hussain S, Naeem M.",Genet Test Mol Biomarkers. 2020 Feb;24(2):85-91. doi: 10.1089/gtmb.2019.0195.,Khan N,Genet Test Mol Biomarkers,2020,2020-01-31,,,10.1089/gtmb.2019.0195
32723786,Diagnostic utility of genetic testing in patients undergoing renal biopsy,"Benson KA, Murray SL, Doyle R, Doyle B, Dorman AM, Sadlier D, Brennan E, Large M, Cavalleri GL, Godson C, Conlon PJ.",Cold Spring Harb Mol Case Stud. 2020 Oct 7;6(5):a005462. doi: 10.1101/mcs.a005462. Print 2020 Oct.,Benson KA,Cold Spring Harb Mol Case Stud,2020,2020-07-30,PMC7552929,,10.1101/mcs.a005462
33107440,Validation of a next-generation sequencing (NGS) panel to improve the diagnosis of X-linked hypophosphataemia (XLH) and other genetic disorders of renal phosphate wasting,"Thiele S, Werner R, Stubbe A, Hiort O, Hoeppner W.",Eur J Endocrinol. 2020 Nov;183(5):497-504. doi: 10.1530/EJE-20-0275.,Thiele S,Eur J Endocrinol,2020,2020-10-27,PMC7592643,,10.1530/EJE-20-0275
30953057,Contribution of Genetic Background and Data Collection on Adverse Events of Anti-human Immunodeficiency Virus (HIV) Drugs (D:A:D) Clinical Risk Score to Chronic Kidney Disease in Swiss HIV-infected Persons With Normal Baseline Estimated Glomerular Filtration Rate,"Dietrich LG, Barceló C, Thorball CW, Ryom L, Burkhalter F, Hasse B, Furrer H, Weisser M, Steffen A, Bernasconi E, Cavassini M, de Seigneux S, Csajka C, Fellay J, Ledergerber B, Tarr PE.",Clin Infect Dis. 2020 Feb 14;70(5):890-897. doi: 10.1093/cid/ciz280.,Dietrich LG,Clin Infect Dis,2020,2019-04-07,,,10.1093/cid/ciz280
37468236,Clinical phenotype and genetic function analysis of a rare family with hereditary leiomyomatosis and renal cell carcinoma complicated with Birt-Hogg-Dubé syndrome,"Pan HH, Ruan DD, Wu M, Chen T, Lu T, Gan YM, Wang C, Liao LS, Lin XF, Chen X, Zhu YB, Fang ZT, Yu QH, Yang GK, Ye LF, Luo JW.",J Med Genet. 2023 Nov 27;60(12):1210-1214. doi: 10.1136/jmg-2023-109328.,Pan HH,J Med Genet,2023,2023-07-19,,,10.1136/jmg-2023-109328
32803290,Genetic and clinical determinants of mizoribine pharmacokinetics in renal transplant recipients,"Dai R, Li J, Wu J, Fu Q, Yan J, Zhong G, Wang C, Chen X, Chen P.",Eur J Clin Pharmacol. 2021 Jan;77(1):45-53. doi: 10.1007/s00228-020-02936-7. Epub 2020 Aug 15.,Dai R,Eur J Clin Pharmacol,2021,2020-08-18,,,10.1007/s00228-020-02936-7
38609702,Diagnostic magnetic resonance imaging characteristics of congenital mesoblastic nephroma: a retrospective multi-center International Society of Pediatric Oncology-Renal Tumor Study Group (SIOP-RTSG) radiology panel study,"van der Beek JN, Schenk JP, Morosi C, Watson TA, Coma A, Graf N, Chowdhury T, Ramírez-Villar GL, Spreafico F, Welter N, Dzhuma K, van Tinteren H, de Krijger RR, van den Heuvel-Eibrink MM, Littooij AS.",Pediatr Radiol. 2024 May;54(6):965-976. doi: 10.1007/s00247-024-05918-4. Epub 2024 Apr 13.,van der Beek JN,Pediatr Radiol,2024,2024-04-12,PMC11111520,,10.1007/s00247-024-05918-4
32600054,Genome-Wide Association of Kidney Traits in Hispanics/Latinos Using Dense Imputed Whole-Genome Sequencing Data: The Hispanic Community Health Study/Study of Latinos,"Qian H, Kowalski MH, Kramer HJ, Tao R, Lash JP, Stilp AM, Cai J, Li Y, Franceschini N.",Circ Genom Precis Med. 2020 Aug;13(4):e002891. doi: 10.1161/CIRCGEN.119.002891. Epub 2020 Jun 29.,Qian H,Circ Genom Precis Med,2020,2020-07-01,PMC7442703,NIHMS1612181,10.1161/CIRCGEN.119.002891
32828237,Autosomal dominant tubulointerstitial kidney disease: a new tool to guide genetic testing,"LaFavers KA, El-Achkar TM.",Kidney Int. 2020 Sep;98(3):549-552. doi: 10.1016/j.kint.2020.05.046.,LaFavers KA,Kidney Int,2020,2020-08-24,PMC8063263,NIHMS1691566,10.1016/j.kint.2020.05.046
39107157,Real-world Treatment Sequencing and Outcomes With Cabozantinib After First-line Immune Checkpoint Inhibitor-based Combination Therapy For Patients With Advanced Renal Cell Carcinoma: CARINA Study Results,"Nathan P, Venugopal B, Ali J, Allison J, Ceruso M, Charnley N, Griffiths R, Michael A, Moore K, Perrot V, Prendergast Á, Sharma A, Szabados B, Larkin J.",Clin Genitourin Cancer. 2024 Oct;22(5):102141. doi: 10.1016/j.clgc.2024.102141. Epub 2024 Jun 26.,Nathan P,Clin Genitourin Cancer,2024,2024-08-06,,,10.1016/j.clgc.2024.102141
33534524,Integrating APOL1 Kidney-risk Variant Testing in Live Kidney Donor Evaluation: An Expert Panel Opinion,"Doshi MD, Gordon EJ, Freedman BI, Glover C, Locke JE, Thomas CP.",Transplantation. 2021 Oct 1;105(10):2132-2134. doi: 10.1097/TP.0000000000003641.,Doshi MD,Transplantation,2021,2021-02-03,PMC8994118,NIHMS1793280,10.1097/TP.0000000000003641
34197840,A genome-wide association study suggests correlations of common genetic variants with peritoneal solute transfer rates in patients with kidney failure receiving peritoneal dialysis,"Mehrotra R, Stanaway IB, Jarvik GP, Lambie M, Morelle J, Perl J, Himmelfarb J, Heimburger O, Johnson DW, Imam TH, Robinson B, Stenvinkel P, Devuyst O, Davies SJ; Bio-PD Consortium.",Kidney Int. 2021 Nov;100(5):1101-1111. doi: 10.1016/j.kint.2021.05.037. Epub 2021 Jun 29.,Mehrotra R,Kidney Int,2021,2021-07-01,PMC8545920,NIHMS1743876,10.1016/j.kint.2021.05.037
32334565,The fertility willingness and acceptability of preimplantation genetic testing in Chinese patients with autosomal dominant polycystic kidney disease,"Sun M, Xue C, Lu Y, Ma Y, Pan T, Wang X, Fan L, Shen J, Hao Y, Zheng D, Li J, Li M, He Y, Mei C.",BMC Nephrol. 2020 Apr 25;21(1):147. doi: 10.1186/s12882-020-01785-x.,Sun M,BMC Nephrol,2020,2020-04-27,PMC7183678,,10.1186/s12882-020-01785-x
36782285,The role of genetic testing in the diagnostic workflow of pediatric patients with kidney diseases: the experience of a single institution,"Vaisitti T, Bracciamà V, Faini AC, Brach Del Prever GM, Callegari M, Kalantari S, Mioli F, Romeo CM, Luca M, Camilla R, Mattozzi F, Gianoglio B, Peruzzi L, Amoroso A, Deaglio S.",Hum Genomics. 2023 Feb 13;17(1):10. doi: 10.1186/s40246-023-00456-w.,Vaisitti T,Hum Genomics,2023,2023-02-14,PMC9926680,,10.1186/s40246-023-00456-w
35314744,Identification of co-expression hub genes for ferroptosis in kidney renal clear cell carcinoma based on weighted gene co-expression network analysis and The Cancer Genome Atlas clinical data,"Li S, Xu X, Zhang R, Huang Y.",Sci Rep. 2022 Mar 21;12(1):4821. doi: 10.1038/s41598-022-08950-2.,Li S,Sci Rep,2022,2022-03-22,PMC8938444,,10.1038/s41598-022-08950-2
38574989,A candidate panel of eight urinary proteins shows potential of early diagnosis and risk assessment for diabetic kidney disease in type 1 diabetes,"Altman J, Bai S, Purohit S, White J, Steed D, Liu S, Hopkins D, She JX, Sharma A, Zhi W.",J Proteomics. 2024 May 30;300:105167. doi: 10.1016/j.jprot.2024.105167. Epub 2024 Apr 2.,Altman J,J Proteomics,2024,2024-04-04,,,10.1016/j.jprot.2024.105167
31852011,"Clinical features, genetic background, and outcome in infants with urinary tract infection and type IV renal tubular acidosis","Tseng MH, Huang JL, Huang SM, Tsai JD, Wu TW, Fan WL, Ding JJ, Lin SH.",Pediatr Res. 2020 Jun;87(7):1251-1255. doi: 10.1038/s41390-019-0727-7. Epub 2019 Dec 18.,Tseng MH,Pediatr Res,2020,2019-12-19,,,10.1038/s41390-019-0727-7
33107222,Functional and genomic characterization of patient-derived xenograft model to study the adaptation to mTORC1 inhibitor in clear cell renal cell carcinoma,"Sakamoto H, Yamasaki T, Sumiyoshi T, Takeda M, Shibasaki N, Utsunomiya N, Arakaki R, Akamatsu S, Kobayashi T, Inoue T, Kamba T, Nakamura E, Ogawa O.",Cancer Med. 2021 Jan;10(1):119-134. doi: 10.1002/cam4.3578. Epub 2020 Oct 27.,Sakamoto H,Cancer Med,2021,2020-10-27,PMC7826464,,10.1002/cam4.3578
31992108,Clinical and economic outcomes of treatment sequences for intermediate- to poor-risk advanced renal cell carcinoma,"Ambavane A, Yang S, Atkins MB, Rao S, Shah A, Regan MM, McDermott DF, Michaelson MD.",Immunotherapy. 2020 Jan;12(1):37-51. doi: 10.2217/imt-2019-0199. Epub 2020 Jan 29.,Ambavane A,Immunotherapy,2020,2020-01-30,,,10.2217/imt-2019-0199
32661119,Correlates of clinical benefit from immunotherapy and targeted therapy in metastatic renal cell carcinoma: comprehensive genomic and transcriptomic analysis,"Dizman N, Lyou Y, Salgia N, Bergerot PG, Hsu J, Enriquez D, Izatt T, Trent JM, Byron S, Pal S.",J Immunother Cancer. 2020 Jul;8(2):e000953. doi: 10.1136/jitc-2020-000953.,Dizman N,J Immunother Cancer,2020,2020-07-15,PMC7359179,,10.1136/jitc-2020-000953
38678107,Genetic polymorphisms and clinical parameters associated with renal toxicity in Thai hematologic malignancy patients receiving high dose methotrexate,"Pitakkitnukun P, Pongpitakmetha T, Suttichet TB, Sukkummee W, Chariyavilaskul P, Polprasert C.",Sci Rep. 2024 Apr 27;14(1):9695. doi: 10.1038/s41598-024-60334-w.,Pitakkitnukun P,Sci Rep,2024,2024-04-27,PMC11055848,,10.1038/s41598-024-60334-w
37574436,Profiling of Serum miRNAs Constructs a Diagnostic 3-miRNA Panel for Clear-Cell Renal Cell Carcinoma,"Li X, Wen Z, Li R, Lu C, Chen W, Chen X, Huang G, Ni L, Lai Y, Tao L.",Clin Genitourin Cancer. 2024 Feb;22(1):23-32. doi: 10.1016/j.clgc.2023.07.002. Epub 2023 Jul 5.,Li X,Clin Genitourin Cancer,2024,2023-08-13,,,10.1016/j.clgc.2023.07.002
34237133,A new thinking: extended application of genomic selection to screen multiomics data for development of novel hypoxia-immune biomarkers and target therapy of clear cell renal cell carcinoma,"Gui CP, Wei JH, Chen YH, Fu LM, Tang YM, Cao JZ, Chen W, Luo JH.",Brief Bioinform. 2021 Nov 5;22(6):bbab173. doi: 10.1093/bib/bbab173.,Gui CP,Brief Bioinform,2021,2021-07-08,,,10.1093/bib/bbab173
33087822,Technical considerations when designing a gene expression panel for renal transplant diagnosis,"Toulza F, Dominy K, Cook T, Galliford J, Beadle J, McLean A, Roufosse C.",Sci Rep. 2020 Oct 21;10(1):17909. doi: 10.1038/s41598-020-74794-3.,Toulza F,Sci Rep,2020,2020-10-22,PMC7578804,,10.1038/s41598-020-74794-3
33861738,"No association of genetic variants in TLR4, TNF-α, IL10, IFN-γ, and IL37 in cytomegalovirus-positive renal allograft recipients with active CMV infection-Subanalysis of the prospective randomised VIPP study","Mazzola P, Schaeffeler E, Witzke O, Nitschke M, Kliem V, Zortel M, Wagner EM, Schwab M, Hauser IA.",PLoS One. 2021 Apr 16;16(4):e0246118. doi: 10.1371/journal.pone.0246118. eCollection 2021.,Mazzola P,PLoS One,2021,2021-04-16,PMC8051780,,10.1371/journal.pone.0246118
33048330,A woman with a dual genetic diagnosis of autosomal dominant tubulointerstitial kidney disease and KBG syndrome,"Tanaka Y, Morisada N, Suzuki T, Ohashi Y, Ye MJ, Nozu K, Tsuruta S, Iijima K.",CEN Case Rep. 2021 May;10(2):184-188. doi: 10.1007/s13730-020-00543-0. Epub 2020 Oct 13.,Tanaka Y,CEN Case Rep,2021,2020-10-13,PMC8019452,,10.1007/s13730-020-00543-0
32673684,Sporadic oncocytic tumors with features intermediate between oncocytoma and chromophobe renal cell carcinoma: comprehensive clinicopathological and genomic profiling,"Liu YJ, Ussakli C, Antic T, Liu Y, Wu Y, True L, Tretiakova MS.",Hum Pathol. 2020 Oct;104:18-29. doi: 10.1016/j.humpath.2020.07.003. Epub 2020 Jul 13.,Liu YJ,Hum Pathol,2020,2020-07-17,,,10.1016/j.humpath.2020.07.003
35977080,Genomewide association study identifies a novel variant associated with tacrolimus trough concentration in Chinese renal transplant recipients,"Yang S, Jiang H, Li C, Lu H, Li C, Ye D, Qi H, Xu W, Bao X, Maseko N, Zhang S, Shao R, Li L.",Clin Transl Sci. 2022 Nov;15(11):2640-2651. doi: 10.1111/cts.13388. Epub 2022 Aug 28.,Yang S,Clin Transl Sci,2022,2022-08-17,PMC9652447,,10.1111/cts.13388
38886300,Association of single nucleotide genetic polymorphisms of vitamin D receptor and calcium-sensitive receptor with calcium-containing kidney stones in Chinese Dai populations: a prospective multi-center study,"Li J, Ke K, Zhang B, Liu Y, Bai J, Wang M, Li H.",Int Urol Nephrol. 2024 Nov;56(11):3647-3655. doi: 10.1007/s11255-024-04109-2. Epub 2024 Jun 17.,Li J,Int Urol Nephrol,2024,2024-06-17,,,10.1007/s11255-024-04109-2
